timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-04-27 20:04:42.919,0.53,0.66,1.0,1.0,0.48,0.68,1.0,1.0,0.58,0.83,0.99,1.0,0.53,0.87,0.99,1.0,1
2025-04-27 20:04:43.008,0.53,0.66,1.0,1.0,0.48,0.68,1.0,1.0,0.58,0.83,0.99,1.0,0.53,0.87,0.99,1.0,1
2025-04-27 20:04:43.082,0.53,0.66,1.0,1.0,0.48,0.69,1.0,1.0,0.57,0.85,0.99,1.0,0.51,0.86,0.99,1.0,1
2025-04-27 20:04:43.165,0.53,0.66,1.0,1.0,0.48,0.7,1.0,1.0,0.57,0.86,0.99,1.0,0.51,0.86,0.99,1.0,1
2025-04-27 20:04:43.249,0.53,0.66,1.0,1.0,0.48,0.7,1.0,1.0,0.57,0.85,0.99,1.0,0.51,0.82,0.98,1.0,1
2025-04-27 20:04:43.329,0.53,0.66,1.0,1.0,0.48,0.7,1.0,1.0,0.56,0.84,0.99,1.0,0.51,0.83,0.98,1.0,1
2025-04-27 20:04:43.402,0.53,0.65,1.0,1.0,0.48,0.7,1.0,1.0,0.55,0.83,0.99,1.0,0.51,0.82,0.98,1.0,1
2025-04-27 20:04:43.490,0.53,0.65,1.0,1.0,0.48,0.7,1.0,1.0,0.55,0.83,0.99,1.0,0.51,0.82,0.98,1.0,1
2025-04-27 20:04:43.565,0.53,0.64,1.0,1.0,0.48,0.7,1.0,1.0,0.55,0.82,0.99,1.0,0.51,0.83,0.99,1.0,1
2025-04-27 20:04:43.650,0.53,0.64,1.0,1.0,0.48,0.7,1.0,1.0,0.55,0.82,0.99,1.0,0.51,0.82,0.99,1.0,1
2025-04-27 20:04:43.850,0.46,0.28,1.0,1.0,0.43,0.3,1.0,1.0,0.45,0.5,0.96,1.0,0.43,0.55,0.98,1.0,0
2025-04-27 20:04:43.932,0.47,0.28,1.0,1.0,0.42,0.3,1.0,1.0,0.45,0.5,0.94,1.0,0.43,0.53,0.98,1.0,0
2025-04-27 20:04:44.007,0.47,0.28,1.0,1.0,0.42,0.3,1.0,1.0,0.45,0.51,0.93,1.0,0.43,0.53,0.98,1.0,0
2025-04-27 20:04:44.089,0.47,0.29,1.0,1.0,0.42,0.3,1.0,1.0,0.45,0.52,0.91,1.0,0.43,0.53,0.98,1.0,0
2025-04-27 20:04:44.166,0.47,0.29,1.0,1.0,0.42,0.3,1.0,1.0,0.45,0.52,0.88,1.0,0.43,0.53,0.97,1.0,0
2025-04-27 20:04:44.249,0.47,0.29,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.51,0.88,1.0,0.43,0.53,0.98,1.0,0
2025-04-27 20:04:44.320,0.47,0.29,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.51,0.87,1.0,0.43,0.53,0.98,1.0,0
2025-04-27 20:04:44.400,0.47,0.3,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.51,0.86,1.0,0.43,0.54,0.98,1.0,0
2025-04-27 20:04:44.474,0.47,0.29,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.51,0.86,1.0,0.43,0.54,0.98,1.0,0
2025-04-27 20:04:44.555,0.47,0.3,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.53,0.86,1.0,0.43,0.54,0.98,1.0,0
2025-04-27 20:04:44.633,0.47,0.3,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.53,0.87,1.0,0.43,0.55,0.98,1.0,0
2025-04-27 20:04:44.705,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.45,0.53,0.87,1.0,0.43,0.55,0.98,1.0,0
2025-04-27 20:04:44.783,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.45,0.53,0.87,1.0,0.43,0.55,0.98,1.0,0
2025-04-27 20:04:44.865,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.45,0.53,0.88,1.0,0.43,0.55,0.98,1.0,0
2025-04-27 20:04:44.940,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.45,0.53,0.88,1.0,0.43,0.55,0.97,1.0,0
2025-04-27 20:04:45.016,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.88,1.0,0.43,0.55,0.97,1.0,0
2025-04-27 20:04:45.100,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.89,1.0,0.43,0.55,0.97,1.0,0
2025-04-27 20:04:45.216,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.89,1.0,0.43,0.54,0.98,1.0,0
2025-04-27 20:04:45.324,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.9,1.0,0.43,0.54,0.98,1.0,0
2025-04-27 20:04:45.448,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.89,1.0,0.43,0.54,0.98,1.0,0
2025-04-27 20:04:45.573,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.9,1.0,0.43,0.54,0.98,1.0,0
2025-04-27 20:04:45.689,0.48,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.89,1.0,0.43,0.54,0.98,1.0,0
2025-04-27 20:04:45.803,0.48,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.89,1.0,0.43,0.54,0.98,1.0,0
2025-04-27 20:04:45.931,0.48,0.31,1.0,1.0,0.43,0.28,1.0,1.0,0.46,0.52,0.89,1.0,0.43,0.54,0.98,1.0,0
