timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-05-01 10:04:38.266,0.27,0.34,1.0,1.0,0.21,0.35,1.0,1.0,0.25,0.42,0.61,0.0,0.25,0.42,0.96,1.0,0
2025-05-01 10:04:38.367,0.27,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.25,0.42,0.6,0.0,0.24,0.43,0.96,1.0,0
2025-05-01 10:04:38.472,0.27,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.26,0.43,0.63,0.0,0.24,0.43,0.96,1.0,0
2025-05-01 10:04:38.558,0.27,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.27,0.43,0.66,0.0,0.24,0.43,0.96,1.0,0
2025-05-01 10:04:38.653,0.27,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.27,0.43,0.69,0.0,0.24,0.43,0.96,1.0,0
2025-05-01 10:04:38.749,0.27,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.28,0.43,0.72,1.0,0.24,0.43,0.96,1.0,0
2025-05-01 10:04:38.861,0.28,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.28,0.43,0.75,1.0,0.24,0.43,0.97,1.0,0
2025-05-01 10:04:38.965,0.28,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.27,0.43,0.77,1.0,0.25,0.43,0.97,1.0,0
2025-05-01 10:04:39.066,0.28,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.27,0.43,0.79,1.0,0.25,0.43,0.97,1.0,0
2025-05-01 10:04:39.173,0.28,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.27,0.43,0.8,1.0,0.25,0.43,0.96,1.0,0
2025-05-01 10:04:39.284,0.28,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.26,0.43,0.77,1.0,0.26,0.43,0.95,1.0,0
2025-05-01 10:04:39.406,0.28,0.34,1.0,1.0,0.22,0.35,1.0,1.0,0.25,0.43,0.75,1.0,0.26,0.43,0.96,1.0,0
2025-05-01 10:04:39.505,0.28,0.34,1.0,1.0,0.22,0.35,1.0,1.0,0.25,0.43,0.76,1.0,0.26,0.43,0.96,1.0,0
2025-05-01 10:04:39.618,0.28,0.34,1.0,1.0,0.22,0.35,1.0,1.0,0.26,0.43,0.77,1.0,0.26,0.44,0.96,1.0,0
2025-05-01 10:04:39.700,0.28,0.35,1.0,1.0,0.21,0.35,1.0,1.0,0.26,0.44,0.78,1.0,0.25,0.44,0.96,1.0,0
2025-05-01 10:04:39.809,0.28,0.35,1.0,1.0,0.21,0.35,1.0,1.0,0.26,0.44,0.77,1.0,0.25,0.44,0.96,1.0,0
2025-05-01 10:04:39.904,0.27,0.35,1.0,1.0,0.21,0.35,1.0,1.0,0.26,0.45,0.79,1.0,0.24,0.45,0.96,1.0,0
2025-05-01 10:04:39.990,0.27,0.35,1.0,1.0,0.21,0.35,1.0,1.0,0.27,0.45,0.81,1.0,0.23,0.45,0.96,1.0,0
2025-05-01 10:04:40.099,0.27,0.35,1.0,1.0,0.21,0.35,1.0,1.0,0.28,0.44,0.82,1.0,0.22,0.45,0.96,1.0,0
2025-05-01 10:04:40.206,0.27,0.35,1.0,1.0,0.21,0.35,1.0,1.0,0.29,0.44,0.84,1.0,0.22,0.45,0.97,1.0,0
2025-05-01 10:04:40.300,0.27,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.29,0.45,0.86,1.0,0.22,0.45,0.97,1.0,0
2025-05-01 10:04:40.399,0.27,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.29,0.45,0.87,1.0,0.22,0.46,0.97,1.0,0
2025-05-01 10:04:40.500,0.27,0.35,1.0,1.0,0.23,0.35,1.0,1.0,0.29,0.45,0.88,1.0,0.23,0.46,0.97,1.0,0
2025-05-01 10:04:40.590,0.27,0.35,1.0,1.0,0.23,0.35,1.0,1.0,0.29,0.46,0.89,1.0,0.25,0.46,0.98,1.0,0
2025-05-01 10:04:40.690,0.27,0.35,1.0,1.0,0.23,0.35,1.0,1.0,0.27,0.46,0.85,1.0,0.27,0.46,0.97,1.0,0
2025-05-01 10:04:40.784,0.27,0.35,1.0,1.0,0.22,0.35,1.0,1.0,0.27,0.46,0.84,1.0,0.27,0.46,0.97,1.0,0
2025-05-01 10:04:40.882,0.27,0.35,1.0,1.0,0.22,0.34,1.0,1.0,0.26,0.46,0.83,1.0,0.27,0.46,0.98,1.0,0
2025-05-01 10:04:40.982,0.27,0.34,1.0,1.0,0.2,0.34,1.0,1.0,0.26,0.46,0.79,1.0,0.27,0.46,0.98,1.0,0
2025-05-01 10:04:41.080,0.26,0.34,1.0,1.0,0.2,0.34,1.0,1.0,0.25,0.46,0.75,1.0,0.26,0.46,0.98,1.0,0
2025-05-01 10:04:41.159,0.26,0.34,1.0,1.0,0.19,0.34,1.0,1.0,0.25,0.46,0.74,1.0,0.26,0.47,0.98,1.0,0
2025-05-01 10:04:41.261,0.25,0.34,1.0,1.0,0.18,0.34,1.0,1.0,0.24,0.46,0.72,1.0,0.26,0.47,0.98,1.0,0
2025-05-01 10:04:41.361,0.25,0.34,1.0,1.0,0.18,0.34,1.0,1.0,0.24,0.47,0.71,1.0,0.26,0.47,0.98,1.0,0
2025-05-01 10:04:41.448,0.24,0.34,1.0,1.0,0.18,0.34,1.0,1.0,0.25,0.47,0.71,1.0,0.26,0.47,0.98,1.0,0
2025-05-01 10:04:41.541,0.24,0.34,1.0,1.0,0.18,0.34,1.0,1.0,0.25,0.47,0.69,0.0,0.26,0.48,0.98,1.0,0
2025-05-01 10:04:41.634,0.24,0.34,1.0,1.0,0.18,0.34,1.0,1.0,0.25,0.47,0.67,0.0,0.26,0.48,0.97,1.0,0
2025-05-01 10:04:41.727,0.23,0.34,1.0,1.0,0.18,0.34,1.0,1.0,0.25,0.48,0.65,0.0,0.27,0.48,0.97,1.0,0
2025-05-01 10:04:41.817,0.23,0.34,1.0,1.0,0.18,0.34,1.0,1.0,0.25,0.48,0.63,0.0,0.27,0.49,0.97,1.0,0
2025-05-01 10:04:41.923,0.23,0.34,1.0,1.0,0.18,0.34,1.0,1.0,0.26,0.48,0.62,0.0,0.28,0.49,0.96,1.0,0
2025-05-01 10:04:42.016,0.24,0.34,1.0,1.0,0.19,0.34,1.0,1.0,0.27,0.48,0.61,0.0,0.29,0.49,0.96,1.0,0
2025-05-01 10:04:42.116,0.24,0.34,1.0,1.0,0.21,0.34,1.0,1.0,0.29,0.49,0.61,0.0,0.3,0.49,0.96,1.0,0
2025-05-01 10:04:42.216,0.26,0.34,1.0,1.0,0.22,0.34,1.0,1.0,0.3,0.49,0.6,0.0,0.32,0.5,0.95,1.0,0
2025-05-01 10:04:42.317,0.27,0.34,1.0,1.0,0.23,0.34,1.0,1.0,0.32,0.49,0.58,0.0,0.34,0.5,0.94,1.0,0
2025-05-01 10:04:42.417,0.27,0.34,1.0,1.0,0.25,0.34,1.0,1.0,0.33,0.49,0.57,0.0,0.35,0.5,0.94,1.0,0
2025-05-01 10:04:42.528,0.29,0.33,1.0,1.0,0.26,0.34,1.0,1.0,0.34,0.5,0.56,0.0,0.37,0.5,0.93,1.0,0
2025-05-01 10:04:42.633,0.31,0.33,1.0,1.0,0.26,0.34,1.0,1.0,0.36,0.5,0.55,0.0,0.39,0.5,0.93,1.0,0
2025-05-01 10:04:42.719,0.32,0.33,1.0,1.0,0.28,0.34,1.0,1.0,0.37,0.5,0.54,0.0,0.41,0.51,0.92,1.0,0
2025-05-01 10:04:42.816,0.31,0.33,1.0,1.0,0.31,0.33,1.0,1.0,0.39,0.5,0.54,0.0,0.43,0.51,0.92,1.0,0
2025-05-01 10:04:42.907,0.32,0.33,1.0,1.0,0.3,0.33,1.0,1.0,0.41,0.5,0.55,0.0,0.45,0.51,0.93,1.0,0
2025-05-01 10:04:42.994,0.36,0.33,1.0,1.0,0.31,0.34,1.0,1.0,0.42,0.51,0.57,0.0,0.46,0.51,0.93,1.0,0
2025-05-01 10:04:43.089,0.34,0.33,1.0,1.0,0.33,0.34,1.0,1.0,0.45,0.51,0.58,0.0,0.46,0.52,0.93,1.0,0
2025-05-01 10:04:43.174,0.37,0.33,1.0,1.0,0.33,0.34,1.0,1.0,0.47,0.51,0.6,0.0,0.46,0.52,0.94,1.0,0
2025-05-01 10:04:43.266,0.38,0.33,1.0,1.0,0.34,0.33,1.0,1.0,0.49,0.5,0.62,0.0,0.47,0.52,0.94,1.0,0
2025-05-01 10:04:43.352,0.38,0.33,1.0,1.0,0.37,0.33,1.0,1.0,0.52,0.49,0.65,0.0,0.48,0.52,0.95,1.0,0
2025-05-01 10:04:43.434,0.38,0.33,1.0,1.0,0.4,0.33,1.0,1.0,0.53,0.49,0.66,0.0,0.49,0.52,0.95,1.0,0
2025-05-01 10:04:43.544,0.37,0.33,1.0,1.0,0.42,0.33,1.0,1.0,0.55,0.48,0.69,0.0,0.5,0.53,0.96,1.0,0
2025-05-01 10:04:43.634,0.38,0.33,1.0,1.0,0.44,0.33,1.0,1.0,0.56,0.48,0.7,1.0,0.52,0.53,0.96,1.0,0
2025-05-01 10:04:43.732,0.38,0.33,1.0,1.0,0.47,0.33,1.0,1.0,0.57,0.48,0.7,1.0,0.54,0.53,0.96,1.0,0
2025-05-01 10:04:43.817,0.39,0.33,1.0,1.0,0.49,0.33,1.0,1.0,0.58,0.48,0.71,1.0,0.56,0.53,0.97,1.0,0
2025-05-01 10:04:43.916,0.4,0.33,1.0,1.0,0.51,0.34,1.0,1.0,0.59,0.47,0.71,1.0,0.58,0.53,0.97,1.0,0
2025-05-01 10:04:44.010,0.41,0.34,1.0,1.0,0.54,0.34,1.0,1.0,0.59,0.48,0.69,0.0,0.61,0.54,0.97,1.0,0
2025-05-01 10:04:44.105,0.41,0.35,1.0,1.0,0.55,0.34,1.0,1.0,0.57,0.46,0.63,0.0,0.64,0.54,0.97,1.0,0
2025-05-01 10:04:44.189,0.42,0.36,1.0,1.0,0.56,0.34,1.0,1.0,0.59,0.5,0.61,0.0,0.67,0.54,0.98,1.0,0
2025-05-01 10:04:44.277,0.43,0.37,1.0,1.0,0.56,0.34,1.0,1.0,0.61,0.52,0.59,0.0,0.69,0.54,0.98,1.0,0
2025-05-01 10:04:44.368,0.44,0.39,1.0,1.0,0.56,0.34,1.0,1.0,0.6,0.54,0.63,0.0,0.72,0.54,0.98,1.0,0
2025-05-01 10:04:44.458,0.45,0.4,1.0,1.0,0.56,0.35,1.0,1.0,0.6,0.54,0.66,0.0,0.75,0.54,0.98,1.0,0
2025-05-01 10:04:44.547,0.47,0.42,1.0,1.0,0.57,0.36,1.0,1.0,0.6,0.54,0.7,1.0,0.77,0.53,0.98,1.0,0
2025-05-01 10:04:44.639,0.49,0.43,1.0,1.0,0.57,0.37,1.0,1.0,0.6,0.54,0.72,1.0,0.78,0.52,0.98,1.0,0
2025-05-01 10:04:44.738,0.5,0.45,1.0,1.0,0.58,0.38,1.0,1.0,0.61,0.53,0.74,1.0,0.8,0.51,0.99,1.0,0
2025-05-01 10:04:44.838,0.52,0.46,1.0,1.0,0.59,0.39,1.0,1.0,0.63,0.53,0.72,1.0,0.8,0.51,0.99,1.0,0
