timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-05-01 10:24:24.616,0.23,0.48,1.0,1.0,0.3,0.48,1.0,1.0,0.25,0.63,0.94,1.0,0.32,0.62,0.75,1.0,0
2025-05-01 10:24:24.730,0.23,0.48,1.0,1.0,0.3,0.48,1.0,1.0,0.25,0.63,0.93,1.0,0.32,0.62,0.74,1.0,0
2025-05-01 10:24:24.860,0.23,0.48,1.0,1.0,0.3,0.48,1.0,1.0,0.24,0.63,0.93,1.0,0.31,0.62,0.74,1.0,0
2025-05-01 10:24:24.973,0.23,0.48,1.0,1.0,0.29,0.48,1.0,1.0,0.24,0.63,0.93,1.0,0.31,0.62,0.74,1.0,0
2025-05-01 10:24:25.090,0.22,0.48,1.0,1.0,0.29,0.48,1.0,1.0,0.24,0.62,0.92,1.0,0.31,0.62,0.73,1.0,0
2025-05-01 10:24:25.202,0.22,0.47,1.0,1.0,0.29,0.47,1.0,1.0,0.24,0.62,0.92,1.0,0.31,0.62,0.72,1.0,0
2025-05-01 10:24:25.336,0.21,0.47,1.0,1.0,0.29,0.47,1.0,1.0,0.24,0.62,0.91,1.0,0.31,0.62,0.72,1.0,0
2025-05-01 10:24:25.442,0.21,0.47,1.0,1.0,0.29,0.47,1.0,1.0,0.24,0.62,0.92,1.0,0.3,0.61,0.72,1.0,0
2025-05-01 10:24:25.562,0.21,0.47,1.0,1.0,0.28,0.47,1.0,1.0,0.23,0.62,0.92,1.0,0.3,0.61,0.73,1.0,0
2025-05-01 10:24:25.686,0.21,0.47,1.0,1.0,0.28,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.3,0.61,0.72,1.0,0
2025-05-01 10:24:25.791,0.2,0.47,1.0,1.0,0.28,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.3,0.62,0.73,1.0,0
2025-05-01 10:24:25.919,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.29,0.61,0.73,1.0,0
2025-05-01 10:24:26.043,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.29,0.61,0.71,1.0,0
2025-05-01 10:24:26.169,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.28,0.6,0.68,0.0,0
2025-05-01 10:24:26.292,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.22,0.62,0.93,1.0,0.28,0.6,0.66,0.0,0
