timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-05-01 10:24:13.740,0.4,0.19,1.0,1.0,0.55,0.2,1.0,1.0,0.42,0.39,0.88,1.0,0.51,0.41,0.99,1.0,1
2025-05-01 10:24:13.820,0.4,0.19,1.0,1.0,0.55,0.2,1.0,1.0,0.42,0.39,0.87,1.0,0.51,0.41,0.98,1.0,1
2025-05-01 10:24:13.928,0.4,0.19,1.0,1.0,0.55,0.2,1.0,1.0,0.42,0.38,0.86,1.0,0.52,0.41,0.98,1.0,1
2025-05-01 10:24:14.013,0.4,0.19,1.0,1.0,0.55,0.2,1.0,1.0,0.42,0.38,0.83,1.0,0.52,0.41,0.98,1.0,1
2025-05-01 10:24:14.108,0.4,0.19,1.0,1.0,0.56,0.2,1.0,1.0,0.43,0.38,0.82,1.0,0.52,0.41,0.98,1.0,1
2025-05-01 10:24:14.204,0.41,0.18,1.0,1.0,0.56,0.2,1.0,1.0,0.43,0.38,0.83,1.0,0.52,0.4,0.98,1.0,1
2025-05-01 10:24:14.291,0.41,0.18,1.0,1.0,0.57,0.2,1.0,1.0,0.43,0.38,0.82,1.0,0.52,0.4,0.97,1.0,1
2025-05-01 10:24:14.378,0.42,0.18,1.0,1.0,0.58,0.19,1.0,1.0,0.43,0.38,0.83,1.0,0.52,0.4,0.96,1.0,1
2025-05-01 10:24:14.472,0.42,0.17,1.0,1.0,0.58,0.19,1.0,1.0,0.44,0.38,0.84,1.0,0.52,0.39,0.95,1.0,1
2025-05-01 10:24:14.566,0.42,0.17,1.0,1.0,0.58,0.18,1.0,1.0,0.44,0.38,0.84,1.0,0.52,0.39,0.94,1.0,1
2025-05-01 10:24:14.662,0.42,0.16,1.0,1.0,0.58,0.18,1.0,1.0,0.44,0.38,0.84,1.0,0.52,0.39,0.92,1.0,1
2025-05-01 10:24:14.758,0.43,0.16,1.0,1.0,0.59,0.18,1.0,1.0,0.44,0.38,0.84,1.0,0.52,0.38,0.91,1.0,1
2025-05-01 10:24:14.844,0.43,0.16,1.0,1.0,0.59,0.17,1.0,1.0,0.45,0.37,0.85,1.0,0.53,0.38,0.9,1.0,1
2025-05-01 10:24:14.938,0.43,0.16,1.0,1.0,0.6,0.17,1.0,1.0,0.45,0.37,0.85,1.0,0.53,0.38,0.9,1.0,1
2025-05-01 10:24:15.033,0.43,0.16,1.0,1.0,0.6,0.17,1.0,1.0,0.46,0.37,0.84,1.0,0.54,0.38,0.89,1.0,1
2025-05-01 10:24:15.133,0.43,0.16,1.0,1.0,0.6,0.17,1.0,1.0,0.46,0.37,0.83,1.0,0.54,0.38,0.89,1.0,1
2025-05-01 10:24:15.222,0.42,0.16,1.0,1.0,0.59,0.16,1.0,1.0,0.46,0.37,0.82,1.0,0.54,0.37,0.88,1.0,1
2025-05-01 10:24:15.318,0.4,0.16,1.0,1.0,0.57,0.16,1.0,1.0,0.45,0.36,0.82,1.0,0.54,0.37,0.88,1.0,1
2025-05-01 10:24:15.402,0.39,0.16,1.0,1.0,0.55,0.16,1.0,1.0,0.44,0.36,0.82,1.0,0.54,0.37,0.88,1.0,1
