timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-05-01 10:31:48.980,0.44,0.54,1.0,1.0,0.42,0.55,1.0,1.0,0.42,0.87,0.59,0.0,0.42,0.86,0.08,0.0,-1
2025-05-01 10:31:49.088,0.44,0.54,1.0,1.0,0.42,0.55,1.0,1.0,0.43,0.87,0.57,0.0,0.42,0.86,0.07,0.0,-1
2025-05-01 10:31:49.186,0.46,0.53,1.0,1.0,0.42,0.55,1.0,1.0,0.43,0.82,0.55,0.0,0.42,0.82,0.09,0.0,-1
2025-05-01 10:31:49.269,0.46,0.53,1.0,1.0,0.42,0.54,1.0,1.0,0.43,0.83,0.54,0.0,0.41,0.82,0.09,0.0,-1
2025-05-01 10:31:49.369,0.46,0.53,1.0,1.0,0.42,0.54,1.0,1.0,0.43,0.83,0.52,0.0,0.41,0.82,0.1,0.0,-1
2025-05-01 10:31:49.454,0.46,0.53,1.0,1.0,0.42,0.54,1.0,1.0,0.44,0.83,0.51,0.0,0.41,0.82,0.1,0.0,-1
2025-05-01 10:31:49.555,0.47,0.46,1.0,1.0,0.44,0.46,1.0,1.0,0.43,0.71,0.56,0.0,0.41,0.71,0.15,0.0,-1
2025-05-01 10:31:49.637,0.48,0.45,1.0,1.0,0.45,0.45,1.0,1.0,0.43,0.7,0.59,0.0,0.41,0.7,0.18,0.0,-1
2025-05-01 10:31:49.752,0.48,0.45,1.0,1.0,0.45,0.45,1.0,1.0,0.43,0.71,0.63,0.0,0.41,0.71,0.21,0.0,-1
2025-05-01 10:31:49.837,0.49,0.45,1.0,1.0,0.45,0.44,1.0,1.0,0.43,0.71,0.66,0.0,0.41,0.71,0.25,0.0,-1
2025-05-01 10:31:49.948,0.51,0.38,1.0,1.0,0.46,0.39,1.0,1.0,0.4,0.52,0.69,0.0,0.39,0.54,0.32,0.0,-1
2025-05-01 10:31:50.052,0.51,0.38,1.0,1.0,0.47,0.38,1.0,1.0,0.4,0.52,0.72,1.0,0.38,0.53,0.37,0.0,0
2025-05-01 10:31:50.139,0.52,0.37,1.0,1.0,0.48,0.37,1.0,1.0,0.4,0.44,0.75,1.0,0.38,0.48,0.43,0.0,0
2025-05-01 10:31:50.237,0.52,0.37,1.0,1.0,0.48,0.37,1.0,1.0,0.4,0.43,0.77,1.0,0.37,0.47,0.48,0.0,0
2025-05-01 10:31:50.336,0.53,0.34,1.0,1.0,0.5,0.35,1.0,1.0,0.43,0.28,0.79,1.0,0.38,0.33,0.53,0.0,0
2025-05-01 10:31:50.420,0.53,0.35,1.0,1.0,0.5,0.35,1.0,1.0,0.43,0.27,0.81,1.0,0.38,0.32,0.57,0.0,0
2025-05-01 10:31:50.519,0.53,0.35,1.0,1.0,0.51,0.36,1.0,1.0,0.43,0.27,0.83,1.0,0.39,0.32,0.59,0.0,0
2025-05-01 10:31:50.619,0.53,0.32,1.0,1.0,0.5,0.36,1.0,1.0,0.48,0.22,0.85,1.0,0.45,0.28,0.62,0.0,0
2025-05-01 10:31:50.714,0.54,0.34,1.0,1.0,0.5,0.34,1.0,1.0,0.48,0.22,0.86,1.0,0.46,0.26,0.65,0.0,0
2025-05-01 10:31:50.795,0.54,0.35,1.0,1.0,0.5,0.34,1.0,1.0,0.49,0.22,0.88,1.0,0.47,0.25,0.68,0.0,0
2025-05-01 10:31:50.888,0.54,0.35,1.0,1.0,0.5,0.35,1.0,1.0,0.49,0.2,0.89,1.0,0.46,0.27,0.71,1.0,0
2025-05-01 10:31:50.983,0.52,0.34,1.0,1.0,0.48,0.31,1.0,1.0,0.51,0.23,0.9,1.0,0.49,0.21,0.73,1.0,0
2025-05-01 10:31:51.079,0.52,0.36,1.0,1.0,0.49,0.33,1.0,1.0,0.52,0.24,0.91,1.0,0.5,0.24,0.76,1.0,0
2025-05-01 10:31:51.153,0.52,0.37,1.0,1.0,0.49,0.32,1.0,1.0,0.51,0.25,0.92,1.0,0.52,0.22,0.78,1.0,0
2025-05-01 10:31:51.237,0.52,0.38,1.0,1.0,0.49,0.33,1.0,1.0,0.51,0.23,0.92,1.0,0.49,0.23,0.79,1.0,0
2025-05-01 10:31:51.342,0.48,0.4,1.0,1.0,0.49,0.3,1.0,1.0,0.54,0.32,0.93,1.0,0.54,0.22,0.81,1.0,0
2025-05-01 10:31:51.421,0.48,0.4,1.0,1.0,0.48,0.3,1.0,1.0,0.56,0.28,0.94,1.0,0.55,0.23,0.83,1.0,0
2025-05-01 10:31:51.521,0.48,0.41,1.0,1.0,0.47,0.3,1.0,1.0,0.56,0.26,0.94,1.0,0.55,0.23,0.85,1.0,0
2025-05-01 10:31:51.619,0.48,0.41,1.0,1.0,0.48,0.31,1.0,1.0,0.55,0.31,0.95,1.0,0.55,0.23,0.86,1.0,0
2025-05-01 10:31:51.700,0.49,0.41,1.0,1.0,0.47,0.32,1.0,1.0,0.55,0.34,0.95,1.0,0.53,0.25,0.86,1.0,0
2025-05-01 10:31:51.793,0.49,0.41,1.0,1.0,0.47,0.33,1.0,1.0,0.55,0.35,0.96,1.0,0.52,0.26,0.86,1.0,0
2025-05-01 10:31:51.883,0.49,0.39,1.0,1.0,0.5,0.28,1.0,1.0,0.5,0.44,0.96,1.0,0.56,0.28,0.87,1.0,0
2025-05-01 10:31:51.980,0.49,0.39,1.0,1.0,0.5,0.28,1.0,1.0,0.48,0.45,0.96,1.0,0.56,0.27,0.87,1.0,0
2025-05-01 10:31:52.053,0.49,0.38,1.0,1.0,0.51,0.27,1.0,1.0,0.49,0.46,0.96,1.0,0.57,0.31,0.87,1.0,0
2025-05-01 10:31:52.163,0.5,0.38,1.0,1.0,0.53,0.28,1.0,1.0,0.49,0.43,0.96,1.0,0.56,0.35,0.87,1.0,0
2025-05-01 10:31:52.254,0.52,0.38,1.0,1.0,0.55,0.36,1.0,1.0,0.53,0.45,0.96,1.0,0.49,0.41,0.88,1.0,0
2025-05-01 10:31:52.348,0.52,0.38,1.0,1.0,0.56,0.36,1.0,1.0,0.52,0.45,0.96,1.0,0.51,0.41,0.89,1.0,0
2025-05-01 10:31:52.437,0.53,0.38,1.0,1.0,0.56,0.36,1.0,1.0,0.52,0.45,0.96,1.0,0.49,0.43,0.9,1.0,0
2025-05-01 10:31:52.535,0.52,0.39,1.0,1.0,0.57,0.39,1.0,1.0,0.49,0.47,0.96,1.0,0.57,0.46,0.9,1.0,0
2025-05-01 10:31:52.620,0.52,0.4,1.0,1.0,0.57,0.41,1.0,1.0,0.5,0.48,0.93,1.0,0.56,0.46,0.89,1.0,0
2025-05-01 10:31:52.852,0.5,0.4,1.0,1.0,0.5,0.42,1.0,1.0,0.55,0.49,0.92,1.0,0.54,0.49,0.84,1.0,0
2025-05-01 10:31:52.950,0.53,0.43,1.0,1.0,0.5,0.41,1.0,1.0,0.55,0.5,0.91,1.0,0.53,0.48,0.78,1.0,0
2025-05-01 10:31:53.039,0.53,0.43,1.0,1.0,0.5,0.41,1.0,1.0,0.55,0.5,0.92,1.0,0.51,0.47,0.74,1.0,0
2025-05-01 10:31:53.127,0.56,0.46,1.0,1.0,0.53,0.44,1.0,1.0,0.57,0.51,0.87,1.0,0.55,0.47,0.67,0.0,0
2025-05-01 10:31:53.216,0.56,0.46,1.0,1.0,0.53,0.45,1.0,1.0,0.57,0.52,0.84,1.0,0.55,0.48,0.62,0.0,0
2025-05-01 10:31:53.303,0.55,0.46,1.0,1.0,0.54,0.46,0.99,1.0,0.57,0.52,0.84,1.0,0.56,0.5,0.63,0.0,0
2025-05-01 10:31:53.501,0.58,0.48,1.0,1.0,0.56,0.5,0.99,1.0,0.56,0.76,0.83,1.0,0.54,0.75,0.61,0.0,0
