timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-04-27 20:04:11.621,0.53,0.38,1.0,1.0,0.46,0.41,1.0,1.0,0.54,0.75,0.95,1.0,0.5,0.75,0.96,1.0,0
2025-04-27 20:04:11.703,0.53,0.38,1.0,1.0,0.46,0.41,1.0,1.0,0.54,0.75,0.94,1.0,0.5,0.75,0.95,1.0,0
2025-04-27 20:04:11.779,0.53,0.38,1.0,1.0,0.46,0.41,1.0,1.0,0.54,0.75,0.93,1.0,0.5,0.76,0.94,1.0,0
2025-04-27 20:04:11.891,0.54,0.39,1.0,1.0,0.46,0.41,1.0,1.0,0.55,0.77,0.93,1.0,0.49,0.78,0.94,1.0,0
2025-04-27 20:04:11.974,0.55,0.4,1.0,1.0,0.46,0.41,1.0,1.0,0.55,0.77,0.93,1.0,0.49,0.78,0.94,1.0,0
2025-04-27 20:04:12.053,0.55,0.4,1.0,1.0,0.47,0.41,1.0,1.0,0.55,0.77,0.93,1.0,0.49,0.78,0.95,1.0,0
2025-04-27 20:04:12.129,0.55,0.41,1.0,1.0,0.47,0.41,1.0,1.0,0.55,0.78,0.93,1.0,0.49,0.79,0.95,1.0,0
2025-04-27 20:04:12.213,0.55,0.42,1.0,1.0,0.47,0.41,1.0,1.0,0.55,0.81,0.92,1.0,0.49,0.82,0.95,1.0,0
2025-04-27 20:04:12.286,0.55,0.43,1.0,1.0,0.47,0.41,1.0,1.0,0.55,0.82,0.92,1.0,0.49,0.83,0.95,1.0,0
2025-04-27 20:04:12.370,0.55,0.42,1.0,1.0,0.47,0.41,1.0,1.0,0.55,0.84,0.91,1.0,0.49,0.85,0.94,1.0,0
2025-04-27 20:04:12.452,0.55,0.42,1.0,1.0,0.47,0.41,1.0,1.0,0.56,0.84,0.91,1.0,0.49,0.83,0.93,1.0,0
2025-04-27 20:04:12.529,0.56,0.42,1.0,1.0,0.47,0.41,1.0,1.0,0.56,0.85,0.9,1.0,0.48,0.83,0.92,1.0,0
2025-04-27 20:04:12.612,0.56,0.42,1.0,1.0,0.47,0.41,1.0,1.0,0.56,0.86,0.9,1.0,0.49,0.85,0.91,1.0,0
2025-04-27 20:04:12.696,0.55,0.42,1.0,1.0,0.46,0.41,1.0,1.0,0.57,0.85,0.9,1.0,0.49,0.85,0.91,1.0,0
2025-04-27 20:04:12.781,0.55,0.42,1.0,1.0,0.46,0.41,1.0,1.0,0.57,0.85,0.9,1.0,0.49,0.85,0.9,1.0,0
2025-04-27 20:04:12.863,0.55,0.42,1.0,1.0,0.46,0.41,1.0,1.0,0.57,0.86,0.89,1.0,0.49,0.85,0.88,1.0,0
2025-04-27 20:04:12.945,0.56,0.42,1.0,1.0,0.46,0.41,1.0,1.0,0.57,0.86,0.87,1.0,0.48,0.85,0.86,1.0,0
