timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-05-03 23:22:48.695,0.68,0.21,1.0,1.0,0.44,0.22,1.0,1.0,0.64,0.52,0.99,1.0,0.51,0.53,1.0,1.0,0
2025-05-03 23:22:48.728,0.68,0.21,1.0,1.0,0.44,0.22,1.0,1.0,0.64,0.53,0.99,1.0,0.52,0.53,1.0,1.0,0
2025-05-03 23:22:48.768,0.68,0.21,1.0,1.0,0.44,0.22,1.0,1.0,0.64,0.53,0.99,1.0,0.52,0.53,1.0,1.0,0
2025-05-03 23:22:48.797,0.68,0.21,1.0,1.0,0.44,0.22,1.0,1.0,0.64,0.53,0.99,1.0,0.52,0.53,1.0,1.0,0
2025-05-03 23:22:48.836,0.68,0.21,1.0,1.0,0.44,0.22,1.0,1.0,0.64,0.53,0.99,1.0,0.52,0.53,1.0,1.0,0
2025-05-03 23:22:48.870,0.67,0.21,1.0,1.0,0.44,0.22,1.0,1.0,0.64,0.53,0.99,1.0,0.51,0.53,1.0,1.0,0
2025-05-03 23:22:48.911,0.67,0.21,1.0,1.0,0.44,0.22,1.0,1.0,0.64,0.53,0.99,1.0,0.51,0.53,0.99,1.0,0
2025-05-03 23:22:48.951,0.67,0.21,1.0,1.0,0.44,0.22,1.0,1.0,0.64,0.53,0.99,1.0,0.51,0.53,0.99,1.0,0
2025-05-03 23:22:48.983,0.67,0.21,1.0,1.0,0.44,0.22,1.0,1.0,0.64,0.53,0.99,1.0,0.51,0.53,0.99,1.0,0
2025-05-03 23:22:49.029,0.67,0.22,1.0,1.0,0.44,0.22,1.0,1.0,0.64,0.53,0.99,1.0,0.51,0.53,0.99,1.0,0
2025-05-03 23:22:49.067,0.67,0.22,1.0,1.0,0.44,0.22,1.0,1.0,0.64,0.53,0.99,1.0,0.51,0.53,0.99,1.0,0
2025-05-03 23:22:49.105,0.67,0.22,1.0,1.0,0.44,0.23,1.0,1.0,0.64,0.53,0.99,1.0,0.51,0.54,0.99,1.0,0
2025-05-03 23:22:49.145,0.67,0.23,1.0,1.0,0.44,0.24,1.0,1.0,0.64,0.53,0.99,1.0,0.51,0.54,0.99,1.0,0
2025-05-03 23:22:49.178,0.67,0.24,1.0,1.0,0.44,0.25,1.0,1.0,0.64,0.54,0.99,1.0,0.51,0.54,0.99,1.0,0
2025-05-03 23:22:49.219,0.67,0.25,1.0,1.0,0.44,0.25,1.0,1.0,0.65,0.54,0.99,1.0,0.51,0.55,0.99,1.0,0
2025-05-03 23:22:49.246,0.67,0.24,1.0,1.0,0.44,0.25,1.0,1.0,0.65,0.54,0.99,1.0,0.51,0.55,0.99,1.0,0
2025-05-03 23:22:49.292,0.67,0.24,1.0,1.0,0.44,0.25,1.0,1.0,0.65,0.54,0.99,1.0,0.51,0.55,0.99,1.0,0
2025-05-03 23:22:49.328,0.67,0.23,1.0,1.0,0.44,0.23,1.0,1.0,0.65,0.54,0.99,1.0,0.51,0.54,0.99,1.0,0
2025-05-03 23:22:49.367,0.67,0.21,1.0,1.0,0.44,0.21,1.0,1.0,0.65,0.53,0.99,1.0,0.51,0.54,0.99,1.0,0
2025-05-03 23:22:49.403,0.67,0.19,1.0,1.0,0.44,0.19,1.0,1.0,0.65,0.52,0.99,1.0,0.5,0.53,0.99,1.0,0
2025-05-03 23:22:49.443,0.67,0.18,1.0,1.0,0.43,0.17,1.0,1.0,0.65,0.51,0.99,1.0,0.5,0.52,0.99,1.0,0
2025-05-03 23:22:49.478,0.67,0.17,1.0,1.0,0.43,0.16,1.0,1.0,0.65,0.5,0.99,1.0,0.5,0.51,0.99,1.0,0
2025-05-03 23:22:49.512,0.68,0.17,1.0,1.0,0.44,0.16,1.0,1.0,0.65,0.5,0.99,1.0,0.5,0.5,0.99,1.0,0
2025-05-03 23:22:49.556,0.68,0.17,1.0,1.0,0.44,0.17,1.0,1.0,0.65,0.5,0.99,1.0,0.5,0.5,0.99,1.0,0
2025-05-03 23:22:49.579,0.68,0.18,1.0,1.0,0.44,0.17,1.0,1.0,0.65,0.51,0.99,1.0,0.5,0.51,0.99,1.0,0
2025-05-03 23:22:49.625,0.68,0.18,1.0,1.0,0.44,0.17,1.0,1.0,0.65,0.51,0.99,1.0,0.5,0.51,0.99,1.0,0
