timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-04-28 21:13:32.005,0.37,0.19,1.0,1.0,0.27,0.21,1.0,1.0,0.4,0.43,0.93,1.0,0.32,0.43,0.99,1.0,0
2025-04-28 21:13:32.083,0.37,0.19,1.0,1.0,0.27,0.21,1.0,1.0,0.4,0.43,0.93,1.0,0.32,0.43,0.99,1.0,0
2025-04-28 21:13:32.134,0.37,0.19,1.0,1.0,0.27,0.2,1.0,1.0,0.4,0.43,0.94,1.0,0.32,0.43,0.99,1.0,0
2025-04-28 21:13:32.189,0.37,0.19,1.0,1.0,0.27,0.2,1.0,1.0,0.4,0.43,0.94,1.0,0.32,0.43,0.99,1.0,0
2025-04-28 21:13:32.241,0.37,0.19,1.0,1.0,0.27,0.2,1.0,1.0,0.4,0.43,0.94,1.0,0.32,0.43,0.99,1.0,0
2025-04-28 21:13:32.295,0.37,0.19,1.0,1.0,0.27,0.2,1.0,1.0,0.39,0.42,0.95,1.0,0.32,0.43,0.99,1.0,0
2025-04-28 21:13:32.346,0.38,0.19,1.0,1.0,0.27,0.2,1.0,1.0,0.39,0.42,0.95,1.0,0.32,0.43,0.99,1.0,0
2025-04-28 21:13:32.408,0.38,0.19,1.0,1.0,0.27,0.2,1.0,1.0,0.39,0.42,0.95,1.0,0.32,0.43,0.99,1.0,0
2025-04-28 21:13:32.472,0.38,0.18,1.0,1.0,0.27,0.19,1.0,1.0,0.39,0.43,0.96,1.0,0.32,0.43,0.99,1.0,0
2025-04-28 21:13:32.531,0.39,0.18,1.0,1.0,0.27,0.19,1.0,1.0,0.39,0.43,0.96,1.0,0.31,0.43,0.99,1.0,0
2025-04-28 21:13:32.597,0.39,0.18,1.0,1.0,0.28,0.19,1.0,1.0,0.4,0.43,0.97,1.0,0.31,0.43,0.99,1.0,0
2025-04-28 21:13:32.665,0.39,0.18,1.0,1.0,0.28,0.19,1.0,1.0,0.4,0.42,0.97,1.0,0.31,0.43,0.99,1.0,0
2025-04-28 21:13:32.727,0.39,0.18,1.0,1.0,0.28,0.19,1.0,1.0,0.4,0.42,0.97,1.0,0.31,0.43,0.99,1.0,0
2025-04-28 21:13:32.792,0.39,0.18,1.0,1.0,0.28,0.18,1.0,1.0,0.4,0.42,0.97,1.0,0.31,0.43,0.99,1.0,0
2025-04-28 21:13:32.857,0.4,0.18,1.0,1.0,0.29,0.18,1.0,1.0,0.4,0.42,0.98,1.0,0.31,0.43,0.99,1.0,0
