timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-04-26 20:36:13.436,0.23,0.48,1.0,1.0,0.3,0.48,1.0,1.0,0.25,0.63,0.94,1.0,0.32,0.62,0.75,1.0,0
2025-04-26 20:36:13.533,0.23,0.48,1.0,1.0,0.3,0.48,1.0,1.0,0.25,0.63,0.93,1.0,0.32,0.62,0.74,1.0,0
2025-04-26 20:36:13.627,0.23,0.48,1.0,1.0,0.3,0.48,1.0,1.0,0.24,0.63,0.93,1.0,0.31,0.62,0.74,1.0,0
2025-04-26 20:36:13.736,0.23,0.48,1.0,1.0,0.29,0.48,1.0,1.0,0.24,0.63,0.93,1.0,0.31,0.62,0.74,1.0,0
2025-04-26 20:36:13.847,0.22,0.48,1.0,1.0,0.29,0.48,1.0,1.0,0.24,0.62,0.92,1.0,0.31,0.62,0.73,1.0,0
2025-04-26 20:36:13.961,0.22,0.47,1.0,1.0,0.29,0.47,1.0,1.0,0.24,0.62,0.92,1.0,0.31,0.62,0.72,1.0,0
2025-04-26 20:36:14.079,0.21,0.47,1.0,1.0,0.29,0.47,1.0,1.0,0.24,0.62,0.91,1.0,0.31,0.62,0.72,1.0,0
2025-04-26 20:36:14.189,0.21,0.47,1.0,1.0,0.29,0.47,1.0,1.0,0.24,0.62,0.92,1.0,0.3,0.61,0.72,1.0,0
2025-04-26 20:36:14.315,0.21,0.47,1.0,1.0,0.28,0.47,1.0,1.0,0.23,0.62,0.92,1.0,0.3,0.61,0.73,1.0,0
2025-04-26 20:36:14.426,0.21,0.47,1.0,1.0,0.28,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.3,0.61,0.72,1.0,0
2025-04-26 20:36:14.538,0.2,0.47,1.0,1.0,0.28,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.3,0.62,0.73,1.0,0
2025-04-26 20:36:14.648,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.29,0.61,0.73,1.0,0
2025-04-26 20:36:14.766,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.29,0.61,0.71,1.0,0
2025-04-26 20:36:14.861,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.28,0.6,0.68,0.0,0
2025-04-26 20:36:14.992,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.22,0.62,0.93,1.0,0.28,0.6,0.66,0.0,0
2025-04-26 20:36:15.109,0.19,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.22,0.62,0.93,1.0,0.28,0.6,0.64,0.0,0
2025-04-26 20:36:15.226,0.19,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.22,0.62,0.93,1.0,0.28,0.6,0.63,0.0,0
2025-04-26 20:36:15.339,0.19,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.22,0.62,0.93,1.0,0.27,0.6,0.61,0.0,0
2025-04-26 20:36:15.444,0.19,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.21,0.62,0.93,1.0,0.26,0.6,0.59,0.0,0
2025-04-26 20:36:15.552,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.21,0.62,0.93,1.0,0.26,0.6,0.57,0.0,0
2025-04-26 20:36:15.659,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.21,0.62,0.93,1.0,0.25,0.61,0.55,0.0,0
2025-04-26 20:36:15.776,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.2,0.62,0.92,1.0,0.25,0.61,0.53,0.0,0
2025-04-26 20:36:15.903,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.2,0.62,0.91,1.0,0.25,0.61,0.5,0.0,0
2025-04-26 20:36:16.027,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.19,0.62,0.9,1.0,0.24,0.61,0.48,0.0,0
2025-04-26 20:36:16.143,0.2,0.47,1.0,1.0,0.27,0.48,1.0,1.0,0.19,0.62,0.88,1.0,0.24,0.62,0.47,0.0,0
2025-04-26 20:36:16.252,0.2,0.47,1.0,1.0,0.28,0.48,1.0,1.0,0.19,0.62,0.86,1.0,0.24,0.62,0.45,0.0,0
2025-04-26 20:36:16.363,0.2,0.48,1.0,1.0,0.28,0.48,1.0,1.0,0.18,0.61,0.85,1.0,0.24,0.62,0.45,0.0,0
2025-04-26 20:36:16.467,0.2,0.47,1.0,1.0,0.27,0.48,1.0,1.0,0.18,0.61,0.83,1.0,0.23,0.61,0.42,0.0,0
2025-04-26 20:36:16.579,0.2,0.47,1.0,1.0,0.27,0.48,1.0,1.0,0.17,0.61,0.82,1.0,0.23,0.61,0.41,0.0,0
2025-04-26 20:36:16.695,0.2,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.81,1.0,0.23,0.61,0.41,0.0,0
2025-04-26 20:36:16.794,0.19,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.8,1.0,0.23,0.61,0.41,0.0,0
2025-04-26 20:36:16.905,0.19,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.79,1.0,0.23,0.61,0.41,0.0,0
2025-04-26 20:36:17.026,0.19,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.8,1.0,0.23,0.61,0.43,0.0,0
2025-04-26 20:36:17.127,0.19,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.8,1.0,0.23,0.61,0.43,0.0,0
2025-04-26 20:36:17.243,0.19,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.8,1.0,0.23,0.61,0.43,0.0,0
2025-04-26 20:36:17.332,0.18,0.47,1.0,1.0,0.26,0.46,1.0,1.0,0.17,0.61,0.82,1.0,0.23,0.61,0.43,0.0,0
2025-04-26 20:36:17.449,0.18,0.47,1.0,1.0,0.26,0.46,1.0,1.0,0.18,0.61,0.82,1.0,0.23,0.61,0.43,0.0,0
2025-04-26 20:36:17.566,0.17,0.47,1.0,1.0,0.25,0.46,1.0,1.0,0.18,0.61,0.83,1.0,0.23,0.61,0.45,0.0,0
2025-04-26 20:36:17.685,0.17,0.47,1.0,1.0,0.25,0.46,1.0,1.0,0.18,0.6,0.83,1.0,0.24,0.6,0.47,0.0,0
2025-04-26 20:36:17.803,0.17,0.47,1.0,1.0,0.24,0.46,1.0,1.0,0.18,0.6,0.84,1.0,0.24,0.6,0.49,0.0,0
2025-04-26 20:36:17.903,0.16,0.47,1.0,1.0,0.24,0.46,1.0,1.0,0.18,0.6,0.84,1.0,0.24,0.6,0.49,0.0,0
2025-04-26 20:36:18.011,0.16,0.47,1.0,1.0,0.24,0.46,1.0,1.0,0.18,0.6,0.84,1.0,0.24,0.6,0.51,0.0,0
2025-04-26 20:36:18.131,0.16,0.47,1.0,1.0,0.24,0.46,1.0,1.0,0.17,0.6,0.84,1.0,0.23,0.6,0.52,0.0,0
2025-04-26 20:36:18.251,0.16,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.84,1.0,0.23,0.6,0.54,0.0,0
2025-04-26 20:36:18.344,0.16,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.84,1.0,0.23,0.6,0.56,0.0,0
2025-04-26 20:36:18.446,0.15,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.84,1.0,0.23,0.6,0.58,0.0,0
2025-04-26 20:36:18.559,0.15,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.85,1.0,0.23,0.6,0.6,0.0,0
2025-04-26 20:36:18.685,0.15,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.86,1.0,0.23,0.59,0.62,0.0,0
2025-04-26 20:36:18.804,0.15,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.87,1.0,0.23,0.59,0.63,0.0,0
2025-04-26 20:36:18.914,0.15,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.88,1.0,0.23,0.58,0.66,0.0,0
2025-04-26 20:36:19.032,0.15,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.89,1.0,0.24,0.58,0.68,0.0,0
2025-04-26 20:36:19.141,0.15,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.89,1.0,0.24,0.58,0.68,0.0,0
