timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-05-03 23:25:35.894,0.23,0.48,1.0,1.0,0.3,0.48,1.0,1.0,0.25,0.63,0.94,1.0,0.32,0.62,0.75,1.0,0
2025-05-03 23:25:35.990,0.23,0.48,1.0,1.0,0.3,0.48,1.0,1.0,0.25,0.63,0.93,1.0,0.32,0.62,0.74,1.0,0
2025-05-03 23:25:36.077,0.23,0.48,1.0,1.0,0.3,0.48,1.0,1.0,0.24,0.63,0.93,1.0,0.31,0.62,0.74,1.0,0
2025-05-03 23:25:36.177,0.23,0.48,1.0,1.0,0.29,0.48,1.0,1.0,0.24,0.63,0.93,1.0,0.31,0.62,0.74,1.0,0
2025-05-03 23:25:36.275,0.22,0.48,1.0,1.0,0.29,0.48,1.0,1.0,0.24,0.62,0.92,1.0,0.31,0.62,0.73,1.0,0
2025-05-03 23:25:36.369,0.22,0.47,1.0,1.0,0.29,0.47,1.0,1.0,0.24,0.62,0.92,1.0,0.31,0.62,0.72,1.0,0
2025-05-03 23:25:36.469,0.21,0.47,1.0,1.0,0.29,0.47,1.0,1.0,0.24,0.62,0.91,1.0,0.31,0.62,0.72,1.0,0
2025-05-03 23:25:36.585,0.21,0.47,1.0,1.0,0.29,0.47,1.0,1.0,0.24,0.62,0.92,1.0,0.3,0.61,0.72,1.0,0
2025-05-03 23:25:36.686,0.21,0.47,1.0,1.0,0.28,0.47,1.0,1.0,0.23,0.62,0.92,1.0,0.3,0.61,0.73,1.0,0
2025-05-03 23:25:36.790,0.21,0.47,1.0,1.0,0.28,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.3,0.61,0.72,1.0,0
2025-05-03 23:25:36.886,0.2,0.47,1.0,1.0,0.28,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.3,0.62,0.73,1.0,0
2025-05-03 23:25:36.994,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.29,0.61,0.73,1.0,0
2025-05-03 23:25:37.102,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.29,0.61,0.71,1.0,0
2025-05-03 23:25:37.203,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.23,0.62,0.93,1.0,0.28,0.6,0.68,0.0,0
2025-05-03 23:25:37.310,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.22,0.62,0.93,1.0,0.28,0.6,0.66,0.0,0
2025-05-03 23:25:37.411,0.19,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.22,0.62,0.93,1.0,0.28,0.6,0.64,0.0,0
2025-05-03 23:25:37.520,0.19,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.22,0.62,0.93,1.0,0.28,0.6,0.63,0.0,0
2025-05-03 23:25:37.628,0.19,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.22,0.62,0.93,1.0,0.27,0.6,0.61,0.0,0
2025-05-03 23:25:37.726,0.19,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.21,0.62,0.93,1.0,0.26,0.6,0.59,0.0,0
2025-05-03 23:25:37.825,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.21,0.62,0.93,1.0,0.26,0.6,0.57,0.0,0
2025-05-03 23:25:37.932,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.21,0.62,0.93,1.0,0.25,0.61,0.55,0.0,0
2025-05-03 23:25:38.030,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.2,0.62,0.92,1.0,0.25,0.61,0.53,0.0,0
2025-05-03 23:25:38.136,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.2,0.62,0.91,1.0,0.25,0.61,0.5,0.0,0
2025-05-03 23:25:38.242,0.2,0.47,1.0,1.0,0.27,0.47,1.0,1.0,0.19,0.62,0.9,1.0,0.24,0.61,0.48,0.0,0
2025-05-03 23:25:38.383,0.2,0.47,1.0,1.0,0.27,0.48,1.0,1.0,0.19,0.62,0.88,1.0,0.24,0.62,0.47,0.0,0
2025-05-03 23:25:38.536,0.2,0.47,1.0,1.0,0.28,0.48,1.0,1.0,0.19,0.62,0.86,1.0,0.24,0.62,0.45,0.0,0
2025-05-03 23:25:38.694,0.2,0.48,1.0,1.0,0.28,0.48,1.0,1.0,0.18,0.61,0.85,1.0,0.24,0.62,0.45,0.0,0
2025-05-03 23:25:38.853,0.2,0.47,1.0,1.0,0.27,0.48,1.0,1.0,0.18,0.61,0.83,1.0,0.23,0.61,0.42,0.0,0
2025-05-03 23:25:38.999,0.2,0.47,1.0,1.0,0.27,0.48,1.0,1.0,0.17,0.61,0.82,1.0,0.23,0.61,0.41,0.0,0
2025-05-03 23:25:39.153,0.2,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.81,1.0,0.23,0.61,0.41,0.0,0
2025-05-03 23:25:39.310,0.19,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.8,1.0,0.23,0.61,0.41,0.0,0
2025-05-03 23:25:39.459,0.19,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.79,1.0,0.23,0.61,0.41,0.0,0
2025-05-03 23:25:39.611,0.19,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.8,1.0,0.23,0.61,0.43,0.0,0
2025-05-03 23:25:39.753,0.19,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.8,1.0,0.23,0.61,0.43,0.0,0
2025-05-03 23:25:39.911,0.19,0.47,1.0,1.0,0.26,0.47,1.0,1.0,0.17,0.6,0.8,1.0,0.23,0.61,0.43,0.0,0
2025-05-03 23:25:40.069,0.18,0.47,1.0,1.0,0.26,0.46,1.0,1.0,0.17,0.61,0.82,1.0,0.23,0.61,0.43,0.0,0
2025-05-03 23:25:40.220,0.18,0.47,1.0,1.0,0.26,0.46,1.0,1.0,0.18,0.61,0.82,1.0,0.23,0.61,0.43,0.0,0
2025-05-03 23:25:40.376,0.17,0.47,1.0,1.0,0.25,0.46,1.0,1.0,0.18,0.61,0.83,1.0,0.23,0.61,0.45,0.0,0
2025-05-03 23:25:40.519,0.17,0.47,1.0,1.0,0.25,0.46,1.0,1.0,0.18,0.6,0.83,1.0,0.24,0.6,0.47,0.0,0
2025-05-03 23:25:40.678,0.17,0.47,1.0,1.0,0.24,0.46,1.0,1.0,0.18,0.6,0.84,1.0,0.24,0.6,0.49,0.0,0
2025-05-03 23:25:40.836,0.16,0.47,1.0,1.0,0.24,0.46,1.0,1.0,0.18,0.6,0.84,1.0,0.24,0.6,0.49,0.0,0
2025-05-03 23:25:40.986,0.16,0.47,1.0,1.0,0.24,0.46,1.0,1.0,0.18,0.6,0.84,1.0,0.24,0.6,0.51,0.0,0
2025-05-03 23:25:41.138,0.16,0.47,1.0,1.0,0.24,0.46,1.0,1.0,0.17,0.6,0.84,1.0,0.23,0.6,0.52,0.0,0
2025-05-03 23:25:41.286,0.16,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.84,1.0,0.23,0.6,0.54,0.0,0
2025-05-03 23:25:41.427,0.16,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.84,1.0,0.23,0.6,0.56,0.0,0
2025-05-03 23:25:41.569,0.15,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.84,1.0,0.23,0.6,0.58,0.0,0
2025-05-03 23:25:41.720,0.15,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.85,1.0,0.23,0.6,0.6,0.0,0
2025-05-03 23:25:41.876,0.15,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.86,1.0,0.23,0.59,0.62,0.0,0
2025-05-03 23:25:42.020,0.15,0.47,1.0,1.0,0.23,0.46,1.0,1.0,0.17,0.6,0.87,1.0,0.23,0.59,0.63,0.0,0
