timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-05-07 22:33:59.924,0.53,0.66,1.0,1.0,0.48,0.68,1.0,1.0,0.58,0.83,0.99,1.0,0.53,0.87,0.99,1.0,1
2025-05-07 22:34:00.008,0.53,0.66,1.0,1.0,0.48,0.68,1.0,1.0,0.58,0.83,0.99,1.0,0.53,0.87,0.99,1.0,1
2025-05-07 22:34:00.090,0.53,0.66,1.0,1.0,0.48,0.69,1.0,1.0,0.57,0.85,0.99,1.0,0.51,0.86,0.99,1.0,1
2025-05-07 22:34:00.181,0.53,0.66,1.0,1.0,0.48,0.7,1.0,1.0,0.57,0.86,0.99,1.0,0.51,0.86,0.99,1.0,1
2025-05-07 22:34:00.267,0.53,0.66,1.0,1.0,0.48,0.7,1.0,1.0,0.57,0.85,0.99,1.0,0.51,0.82,0.98,1.0,1
2025-05-07 22:34:00.367,0.53,0.66,1.0,1.0,0.48,0.7,1.0,1.0,0.56,0.84,0.99,1.0,0.51,0.83,0.98,1.0,1
2025-05-07 22:34:00.451,0.53,0.65,1.0,1.0,0.48,0.7,1.0,1.0,0.55,0.83,0.99,1.0,0.51,0.82,0.98,1.0,1
2025-05-07 22:34:00.537,0.53,0.65,1.0,1.0,0.48,0.7,1.0,1.0,0.55,0.83,0.99,1.0,0.51,0.82,0.98,1.0,1
2025-05-07 22:34:00.625,0.53,0.64,1.0,1.0,0.48,0.7,1.0,1.0,0.55,0.82,0.99,1.0,0.51,0.83,0.99,1.0,1
2025-05-07 22:34:00.714,0.53,0.64,1.0,1.0,0.48,0.7,1.0,1.0,0.55,0.82,0.99,1.0,0.51,0.82,0.99,1.0,1
2025-05-07 22:34:00.938,0.46,0.28,1.0,1.0,0.43,0.3,1.0,1.0,0.45,0.5,0.96,1.0,0.43,0.55,0.98,1.0,0
2025-05-07 22:34:01.022,0.47,0.28,1.0,1.0,0.42,0.3,1.0,1.0,0.45,0.5,0.94,1.0,0.43,0.53,0.98,1.0,0
2025-05-07 22:34:01.102,0.47,0.28,1.0,1.0,0.42,0.3,1.0,1.0,0.45,0.51,0.93,1.0,0.43,0.53,0.98,1.0,0
2025-05-07 22:34:01.180,0.47,0.29,1.0,1.0,0.42,0.3,1.0,1.0,0.45,0.52,0.91,1.0,0.43,0.53,0.98,1.0,0
2025-05-07 22:34:01.276,0.47,0.29,1.0,1.0,0.42,0.3,1.0,1.0,0.45,0.52,0.88,1.0,0.43,0.53,0.97,1.0,0
2025-05-07 22:34:01.359,0.47,0.29,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.51,0.88,1.0,0.43,0.53,0.98,1.0,0
2025-05-07 22:34:01.447,0.47,0.29,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.51,0.87,1.0,0.43,0.53,0.98,1.0,0
2025-05-07 22:34:01.534,0.47,0.3,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.51,0.86,1.0,0.43,0.54,0.98,1.0,0
2025-05-07 22:34:01.621,0.47,0.29,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.51,0.86,1.0,0.43,0.54,0.98,1.0,0
2025-05-07 22:34:01.708,0.47,0.3,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.53,0.86,1.0,0.43,0.54,0.98,1.0,0
2025-05-07 22:34:01.799,0.47,0.3,1.0,1.0,0.42,0.29,1.0,1.0,0.45,0.53,0.87,1.0,0.43,0.55,0.98,1.0,0
2025-05-07 22:34:01.908,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.45,0.53,0.87,1.0,0.43,0.55,0.98,1.0,0
2025-05-07 22:34:02.011,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.45,0.53,0.87,1.0,0.43,0.55,0.98,1.0,0
2025-05-07 22:34:02.109,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.45,0.53,0.88,1.0,0.43,0.55,0.98,1.0,0
2025-05-07 22:34:02.194,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.45,0.53,0.88,1.0,0.43,0.55,0.97,1.0,0
2025-05-07 22:34:02.283,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.88,1.0,0.43,0.55,0.97,1.0,0
2025-05-07 22:34:02.383,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.89,1.0,0.43,0.55,0.97,1.0,0
2025-05-07 22:34:02.474,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.89,1.0,0.43,0.54,0.98,1.0,0
2025-05-07 22:34:02.555,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.9,1.0,0.43,0.54,0.98,1.0,0
2025-05-07 22:34:02.648,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.89,1.0,0.43,0.54,0.98,1.0,0
2025-05-07 22:34:02.742,0.47,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.9,1.0,0.43,0.54,0.98,1.0,0
2025-05-07 22:34:02.847,0.48,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.89,1.0,0.43,0.54,0.98,1.0,0
2025-05-07 22:34:02.948,0.48,0.3,1.0,1.0,0.42,0.28,1.0,1.0,0.46,0.53,0.89,1.0,0.43,0.54,0.98,1.0,0
2025-05-07 22:34:03.057,0.48,0.31,1.0,1.0,0.43,0.28,1.0,1.0,0.46,0.52,0.89,1.0,0.43,0.54,0.98,1.0,0
2025-05-07 22:34:03.163,0.48,0.31,1.0,1.0,0.43,0.28,1.0,1.0,0.46,0.52,0.89,1.0,0.43,0.54,0.98,1.0,0
2025-05-07 22:34:03.268,0.48,0.32,1.0,1.0,0.43,0.3,1.0,1.0,0.48,0.52,0.9,1.0,0.44,0.54,0.98,1.0,0
2025-05-07 22:34:03.371,0.48,0.32,1.0,1.0,0.43,0.3,1.0,1.0,0.48,0.51,0.9,1.0,0.45,0.55,0.98,1.0,0
2025-05-07 22:34:03.464,0.48,0.32,1.0,1.0,0.43,0.32,1.0,1.0,0.48,0.51,0.9,1.0,0.45,0.55,0.98,1.0,0
2025-05-07 22:34:03.557,0.48,0.33,1.0,1.0,0.43,0.32,1.0,1.0,0.48,0.51,0.9,1.0,0.45,0.55,0.98,1.0,0
2025-05-07 22:34:03.648,0.48,0.32,1.0,1.0,0.44,0.34,1.0,1.0,0.48,0.54,0.89,1.0,0.48,0.51,0.98,1.0,0
2025-05-07 22:34:03.737,0.48,0.32,1.0,1.0,0.44,0.35,1.0,1.0,0.48,0.55,0.87,1.0,0.48,0.51,0.97,1.0,0
2025-05-07 22:34:03.835,0.46,0.31,1.0,1.0,0.44,0.35,1.0,1.0,0.48,0.52,0.86,1.0,0.47,0.54,0.97,1.0,0
2025-05-07 22:34:03.924,0.46,0.31,1.0,1.0,0.44,0.35,1.0,1.0,0.48,0.51,0.85,1.0,0.47,0.55,0.96,1.0,0
2025-05-07 22:34:04.025,0.44,0.3,1.0,1.0,0.45,0.35,1.0,1.0,0.47,0.51,0.8,1.0,0.47,0.54,0.95,1.0,0
2025-05-07 22:34:04.135,0.45,0.29,1.0,1.0,0.44,0.34,1.0,1.0,0.47,0.51,0.76,1.0,0.47,0.54,0.94,1.0,0
2025-05-07 22:34:04.226,0.43,0.29,1.0,1.0,0.46,0.32,1.0,1.0,0.47,0.5,0.74,1.0,0.45,0.54,0.95,1.0,0
2025-05-07 22:34:04.328,0.46,0.28,1.0,1.0,0.43,0.3,1.0,1.0,0.46,0.5,0.75,1.0,0.44,0.53,0.95,1.0,0
2025-05-07 22:34:04.442,0.46,0.28,1.0,1.0,0.43,0.3,1.0,1.0,0.46,0.5,0.75,1.0,0.44,0.53,0.95,1.0,0
2025-05-07 22:34:04.543,0.46,0.29,1.0,1.0,0.43,0.29,1.0,1.0,0.46,0.5,0.76,1.0,0.44,0.53,0.95,1.0,0
2025-05-07 22:34:04.643,0.44,0.29,1.0,1.0,0.44,0.3,1.0,1.0,0.45,0.51,0.73,1.0,0.43,0.53,0.96,1.0,0
2025-05-07 22:34:04.749,0.43,0.29,1.0,1.0,0.44,0.3,1.0,1.0,0.45,0.51,0.69,0.0,0.43,0.53,0.96,1.0,0
