timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-04-27 20:45:30.698,0.44,0.54,1.0,1.0,0.42,0.55,1.0,1.0,0.42,0.87,0.59,0.0,0.42,0.86,0.08,0.0,0
2025-04-27 20:45:30.792,0.44,0.54,1.0,1.0,0.42,0.55,1.0,1.0,0.43,0.87,0.57,0.0,0.42,0.86,0.07,0.0,0
2025-04-27 20:45:30.864,0.46,0.53,1.0,1.0,0.42,0.55,1.0,1.0,0.43,0.82,0.55,0.0,0.42,0.82,0.09,0.0,0
2025-04-27 20:45:30.925,0.46,0.53,1.0,1.0,0.42,0.54,1.0,1.0,0.43,0.83,0.54,0.0,0.41,0.82,0.09,0.0,0
2025-04-27 20:45:30.986,0.46,0.53,1.0,1.0,0.42,0.54,1.0,1.0,0.43,0.83,0.52,0.0,0.41,0.82,0.1,0.0,0
2025-04-27 20:45:31.058,0.46,0.53,1.0,1.0,0.42,0.54,1.0,1.0,0.44,0.83,0.51,0.0,0.41,0.82,0.1,0.0,0
2025-04-27 20:45:31.133,0.47,0.46,1.0,1.0,0.44,0.46,1.0,1.0,0.43,0.71,0.56,0.0,0.41,0.71,0.15,0.0,0
2025-04-27 20:45:31.234,0.48,0.45,1.0,1.0,0.45,0.45,1.0,1.0,0.43,0.7,0.59,0.0,0.41,0.7,0.18,0.0,0
2025-04-27 20:45:31.308,0.48,0.45,1.0,1.0,0.45,0.45,1.0,1.0,0.43,0.71,0.63,0.0,0.41,0.71,0.21,0.0,0
2025-04-27 20:45:31.383,0.49,0.45,1.0,1.0,0.45,0.44,1.0,1.0,0.43,0.71,0.66,0.0,0.41,0.71,0.25,0.0,0
2025-04-27 20:45:31.458,0.51,0.38,1.0,1.0,0.46,0.39,1.0,1.0,0.4,0.52,0.69,0.0,0.39,0.54,0.32,0.0,0
2025-04-27 20:45:31.532,0.51,0.38,1.0,1.0,0.47,0.38,1.0,1.0,0.4,0.52,0.72,1.0,0.38,0.53,0.37,0.0,0
2025-04-27 20:45:31.615,0.52,0.37,1.0,1.0,0.48,0.37,1.0,1.0,0.4,0.44,0.75,1.0,0.38,0.48,0.43,0.0,0
2025-04-27 20:45:31.691,0.52,0.37,1.0,1.0,0.48,0.37,1.0,1.0,0.4,0.43,0.77,1.0,0.37,0.47,0.48,0.0,0
2025-04-27 20:45:31.767,0.53,0.34,1.0,1.0,0.5,0.35,1.0,1.0,0.43,0.28,0.79,1.0,0.38,0.33,0.53,0.0,0
2025-04-27 20:45:31.842,0.53,0.35,1.0,1.0,0.5,0.35,1.0,1.0,0.43,0.27,0.81,1.0,0.38,0.32,0.57,0.0,0
