timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-04-26 20:36:56.916,0.17,0.45,1.0,1.0,0.18,0.45,1.0,1.0,0.27,0.44,0.42,0.0,0.28,0.43,0.04,0.0,0
2025-04-26 20:36:57.365,0.09,0.37,1.0,1.0,0.05,0.37,1.0,1.0,0.15,0.54,0.4,0.0,0.13,0.55,0.11,0.0,0
2025-04-26 20:36:57.468,0.09,0.37,1.0,1.0,0.05,0.37,1.0,1.0,0.15,0.54,0.39,0.0,0.13,0.55,0.17,0.0,0
2025-04-26 20:36:57.551,0.12,0.37,1.0,1.0,0.07,0.37,1.0,1.0,0.14,0.54,0.39,0.0,0.13,0.55,0.24,0.0,0
2025-04-26 20:36:57.645,0.12,0.37,1.0,1.0,0.07,0.37,1.0,1.0,0.14,0.54,0.37,0.0,0.13,0.55,0.3,0.0,0
2025-04-26 20:36:57.737,0.13,0.37,1.0,1.0,0.08,0.37,1.0,1.0,0.14,0.55,0.4,0.0,0.13,0.54,0.36,0.0,0
2025-04-26 20:36:57.819,0.14,0.37,1.0,1.0,0.11,0.37,1.0,1.0,0.11,0.55,0.43,0.0,0.14,0.55,0.42,0.0,0
2025-04-26 20:36:57.918,0.14,0.37,1.0,1.0,0.12,0.37,1.0,1.0,0.12,0.55,0.46,0.0,0.14,0.56,0.47,0.0,0
2025-04-26 20:36:58.002,0.14,0.37,1.0,1.0,0.15,0.37,1.0,1.0,0.16,0.56,0.47,0.0,0.14,0.57,0.52,0.0,0
2025-04-26 20:36:58.102,0.17,0.37,1.0,1.0,0.14,0.37,1.0,1.0,0.18,0.57,0.49,0.0,0.14,0.57,0.56,0.0,0
2025-04-26 20:36:58.198,0.18,0.37,1.0,1.0,0.13,0.37,1.0,1.0,0.19,0.57,0.51,0.0,0.14,0.57,0.6,0.0,0
2025-04-26 20:36:58.293,0.17,0.37,1.0,1.0,0.19,0.38,1.0,1.0,0.18,0.58,0.51,0.0,0.21,0.58,0.63,0.0,0
2025-04-26 20:36:58.384,0.2,0.37,1.0,1.0,0.17,0.38,1.0,1.0,0.22,0.58,0.54,0.0,0.18,0.59,0.66,0.0,0
2025-04-26 20:36:58.477,0.18,0.37,1.0,1.0,0.24,0.39,1.0,1.0,0.16,0.59,0.58,0.0,0.25,0.58,0.68,0.0,0
2025-04-26 20:36:58.572,0.17,0.37,1.0,1.0,0.26,0.39,1.0,1.0,0.15,0.58,0.6,0.0,0.25,0.58,0.7,1.0,0
2025-04-26 20:36:58.652,0.17,0.37,1.0,1.0,0.26,0.39,1.0,1.0,0.15,0.59,0.62,0.0,0.25,0.58,0.72,1.0,0
2025-04-26 20:36:58.733,0.19,0.37,0.99,1.0,0.29,0.39,1.0,1.0,0.16,0.59,0.66,0.0,0.3,0.59,0.74,1.0,0
2025-04-26 20:36:58.819,0.19,0.37,0.99,1.0,0.29,0.39,1.0,1.0,0.16,0.59,0.69,0.0,0.3,0.59,0.77,1.0,0
2025-04-26 20:36:58.908,0.22,0.37,0.99,1.0,0.33,0.39,1.0,1.0,0.2,0.59,0.7,1.0,0.32,0.59,0.79,1.0,0
2025-04-26 20:36:59.000,0.22,0.37,0.99,1.0,0.34,0.39,1.0,1.0,0.2,0.58,0.72,1.0,0.32,0.59,0.8,1.0,0
2025-04-26 20:36:59.094,0.23,0.37,0.99,1.0,0.34,0.39,1.0,1.0,0.21,0.58,0.72,1.0,0.33,0.59,0.82,1.0,0
2025-04-26 20:36:59.175,0.25,0.37,0.99,1.0,0.38,0.39,1.0,1.0,0.23,0.58,0.73,1.0,0.33,0.59,0.83,1.0,0
2025-04-26 20:36:59.261,0.26,0.37,0.99,1.0,0.37,0.39,1.0,1.0,0.23,0.58,0.74,1.0,0.33,0.59,0.85,1.0,0
2025-04-26 20:36:59.351,0.29,0.36,0.99,1.0,0.42,0.39,1.0,1.0,0.26,0.58,0.73,1.0,0.33,0.59,0.85,1.0,0
2025-04-26 20:36:59.448,0.29,0.36,0.99,1.0,0.42,0.38,1.0,1.0,0.28,0.57,0.72,1.0,0.33,0.59,0.85,1.0,0
2025-04-26 20:36:59.543,0.29,0.36,0.99,1.0,0.41,0.38,1.0,1.0,0.28,0.57,0.71,1.0,0.33,0.59,0.86,1.0,0
2025-04-26 20:36:59.636,0.3,0.36,0.99,1.0,0.44,0.38,1.0,1.0,0.29,0.57,0.71,1.0,0.34,0.59,0.86,1.0,0
2025-04-26 20:36:59.724,0.3,0.36,0.99,1.0,0.44,0.38,1.0,1.0,0.29,0.57,0.72,1.0,0.35,0.59,0.87,1.0,0
2025-04-26 20:36:59.801,0.31,0.36,0.99,1.0,0.45,0.38,1.0,1.0,0.3,0.56,0.69,0.0,0.35,0.59,0.88,1.0,0
2025-04-26 20:36:59.877,0.31,0.36,0.99,1.0,0.45,0.37,1.0,1.0,0.3,0.56,0.68,0.0,0.35,0.59,0.89,1.0,0
2025-04-26 20:36:59.954,0.31,0.36,1.0,1.0,0.45,0.37,1.0,1.0,0.31,0.56,0.65,0.0,0.35,0.59,0.89,1.0,0
2025-04-26 20:37:00.044,0.32,0.36,1.0,1.0,0.46,0.37,1.0,1.0,0.31,0.55,0.64,0.0,0.35,0.58,0.9,1.0,0
2025-04-26 20:37:00.138,0.32,0.36,1.0,1.0,0.46,0.37,1.0,1.0,0.32,0.55,0.62,0.0,0.36,0.58,0.9,1.0,0
