timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkfall
2025-05-02 16:22:38.563,0.64,0.03,1.0,1,0.44,0.01,1.0,1,0.56,0.68,0.93,1,0.44,0.66,0.97,1,0
2025-05-02 16:22:38.732,0.64,0.01,1.0,1,0.44,0.02,1.0,1,0.55,0.68,0.93,1,0.44,0.66,0.96,1,0
2025-05-02 16:22:38.892,0.64,0.02,1.0,1,0.4,0.03,1.0,1,0.55,0.69,0.93,1,0.43,0.71,0.97,1,0
2025-05-02 16:22:39.068,0.63,0.02,1.0,1,0.38,0.03,1.0,1,0.55,0.7,0.93,1,0.41,0.72,0.97,1,0
2025-05-02 16:22:39.241,0.61,-0.01,1.0,1,0.33,-0.0,1.0,1,0.55,0.72,0.92,1,0.38,0.74,0.95,1,0
2025-05-02 16:22:39.425,0.61,-0.02,1.0,1,0.3,-0.04,1.0,1,0.55,0.77,0.91,1,0.36,0.76,0.93,1,0
2025-05-02 16:22:39.603,0.64,-0.01,1.0,1,0.3,-0.02,1.0,1,0.57,0.82,0.91,1,0.25,0.82,0.92,1,0
2025-05-02 16:22:39.777,0.69,0.1,1.0,1,0.29,0.06,1.0,1,0.63,0.95,0.88,1,0.17,0.9,0.9,1,0
2025-05-02 16:22:39.961,0.74,0.53,1.0,1,0.3,0.42,1.0,1,0.71,0.9,0.86,1,0.26,0.94,0.87,1,0
2025-05-02 16:22:40.139,0.76,0.63,0.99,1,0.37,0.57,1.0,1,0.74,0.96,0.85,1,0.35,1.06,0.8,1,1
2025-05-02 16:22:40.316,0.75,0.64,0.99,1,0.42,0.65,1.0,1,0.69,1.46,0.77,1,0.41,1.39,0.72,1,1
2025-05-02 16:22:40.487,0.74,0.65,1.0,1,0.42,0.7,1.0,1,0.67,1.57,0.69,0,0.45,1.55,0.65,0,-1
2025-05-02 16:22:40.663,0.72,0.67,1.0,1,0.41,0.69,1.0,1,0.66,1.67,0.62,0,0.45,1.68,0.58,0,-1
2025-05-02 16:22:40.843,0.66,0.68,1.0,1,0.34,0.71,1.0,1,0.62,1.69,0.56,0,0.43,1.7,0.53,0,-1
2025-05-02 16:22:41.003,0.63,0.68,1.0,1,0.31,0.72,1.0,1,0.61,1.74,0.5,0,0.41,1.76,0.47,0,-1
2025-05-02 16:22:41.174,0.62,0.66,1.0,1,0.29,0.75,1.0,1,0.65,1.77,0.45,0,0.44,1.81,0.43,0,-1
2025-05-02 16:22:41.354,0.62,0.66,1.0,1,0.29,0.75,1.0,1,0.65,1.82,0.41,0,0.42,1.86,0.38,0,-1
2025-05-02 16:22:41.528,0.62,0.67,1.0,1,0.29,0.76,1.0,1,0.65,1.86,0.37,0,0.42,1.89,0.35,0,-1
2025-05-02 16:22:41.708,0.62,0.67,1.0,1,0.28,0.77,1.0,1,0.65,1.89,0.33,0,0.42,1.91,0.31,0,-1
2025-05-02 16:22:41.859,0.61,0.68,1.0,1,0.27,0.78,1.0,1,0.65,1.9,0.3,0,0.41,1.93,0.28,0,-1
