timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkfall
2025-05-06 16:34:28.817,0.78,0.95,1.0,1,0.28,0.96,1.0,1,0.72,2.57,0.0,0,0.4,2.59,0.0,0,1
2025-05-06 16:34:28.942,0.79,0.95,1.0,1,0.28,0.96,1.0,1,0.72,2.56,0.0,0,0.4,2.58,0.0,0,1
2025-05-06 16:34:29.072,0.79,0.95,1.0,1,0.28,0.96,1.0,1,0.72,2.55,0.0,0,0.41,2.57,0.0,0,1
2025-05-06 16:34:29.200,0.79,0.95,1.0,1,0.28,0.96,1.0,1,0.72,2.54,0.0,0,0.41,2.56,0.0,0,1
2025-05-06 16:34:29.337,0.79,0.95,1.0,1,0.28,0.96,1.0,1,0.72,2.54,0.0,0,0.41,2.56,0.0,0,1
2025-05-06 16:34:29.454,0.79,0.95,1.0,1,0.28,0.96,1.0,1,0.72,2.54,0.0,0,0.41,2.56,0.0,0,1
2025-05-06 16:34:29.603,0.79,0.95,1.0,1,0.28,0.96,1.0,1,0.73,2.54,0.0,0,0.41,2.56,0.0,0,1
2025-05-06 16:34:29.718,0.79,0.95,1.0,1,0.28,0.96,1.0,1,0.73,2.54,0.0,0,0.41,2.56,0.0,0,1
2025-05-06 16:34:29.863,0.79,0.95,1.0,1,0.29,0.96,1.0,1,0.73,2.54,0.0,0,0.41,2.56,0.0,0,1
2025-05-06 16:34:29.986,0.79,0.95,1.0,1,0.29,0.96,1.0,1,0.73,2.54,0.0,0,0.41,2.56,0.0,0,1
2025-05-06 16:34:30.120,0.79,0.95,1.0,1,0.29,0.96,1.0,1,0.73,2.54,0.0,0,0.41,2.56,0.0,0,1
2025-05-06 16:34:30.237,0.79,0.95,1.0,1,0.29,0.96,1.0,1,0.72,2.54,0.0,0,0.41,2.56,0.0,0,1
2025-05-06 16:34:30.354,0.79,0.95,1.0,1,0.29,0.96,1.0,1,0.72,2.54,0.0,0,0.41,2.55,0.0,0,1
2025-05-06 16:34:30.471,0.79,0.95,1.0,1,0.29,0.96,1.0,1,0.72,2.54,0.0,0,0.41,2.55,0.0,0,1
2025-05-06 16:34:30.587,0.79,0.95,1.0,1,0.29,0.97,1.0,1,0.72,2.53,0.0,0,0.41,2.55,0.0,0,1
2025-05-06 16:34:30.709,0.79,0.95,1.0,1,0.29,0.96,1.0,1,0.72,2.52,0.0,0,0.42,2.54,0.0,0,1
2025-05-06 16:34:30.820,0.79,0.94,0.99,1,0.29,0.96,1.0,1,0.72,2.52,0.0,0,0.42,2.54,0.0,0,1
2025-05-06 16:34:30.954,0.79,0.94,0.99,1,0.29,0.96,1.0,1,0.72,2.52,0.0,0,0.42,2.54,0.0,0,1
2025-05-06 16:34:31.071,0.79,0.94,0.99,1,0.29,0.96,1.0,1,0.73,2.52,0.0,0,0.42,2.54,0.0,0,1
2025-05-06 16:34:31.205,0.79,0.94,0.99,1,0.29,0.96,1.0,1,0.73,2.52,0.0,0,0.42,2.54,0.0,0,1
2025-05-06 16:34:31.327,0.79,0.94,0.99,1,0.29,0.96,1.0,1,0.73,2.52,0.0,0,0.42,2.54,0.0,0,1
2025-05-06 16:34:31.442,0.79,0.94,0.99,1,0.29,0.96,1.0,1,0.73,2.52,0.0,0,0.42,2.54,0.0,0,1
2025-05-06 16:34:31.543,0.8,0.94,0.99,1,0.29,0.96,1.0,1,0.73,2.53,0.0,0,0.42,2.54,0.0,0,1
2025-05-06 16:34:31.677,0.8,0.94,0.99,1,0.3,0.96,1.0,1,0.73,2.53,0.0,0,0.42,2.55,0.0,0,1
2025-05-06 16:34:31.801,0.8,0.94,0.99,1,0.3,0.96,1.0,1,0.75,2.53,0.0,0,0.43,2.55,0.0,0,1
2025-05-06 16:34:31.925,0.8,0.94,0.99,1,0.3,0.96,1.0,1,0.74,2.53,0.0,0,0.42,2.54,0.0,0,1
2025-05-06 16:34:32.038,0.8,0.94,0.99,1,0.3,0.97,1.0,1,0.74,2.54,0.0,0,0.43,2.56,0.0,0,1
2025-05-06 16:34:32.161,0.8,0.95,0.99,1,0.3,0.98,1.0,1,0.74,2.55,0.0,0,0.43,2.56,0.0,0,1
2025-05-06 16:34:32.287,0.79,0.95,0.99,1,0.3,1.0,1.0,1,0.74,2.55,0.0,0,0.44,2.56,0.0,0,1
2025-05-06 16:34:32.409,0.79,0.96,0.99,1,0.3,1.01,1.0,1,0.74,2.55,0.0,0,0.44,2.57,0.0,0,1
2025-05-06 16:34:32.526,0.78,0.96,0.99,1,0.3,1.01,1.0,1,0.74,2.55,0.0,0,0.44,2.57,0.0,0,1
2025-05-06 16:34:32.638,0.78,0.96,0.99,1,0.3,1.0,1.0,1,0.74,2.53,0.0,0,0.45,2.55,0.0,0,1
2025-05-06 16:34:32.758,0.78,0.91,0.99,1,0.31,0.95,1.0,1,0.74,2.51,0.0,0,0.44,2.52,0.0,0,1
2025-05-06 16:34:32.878,0.8,0.85,0.99,1,0.32,0.89,1.0,1,0.74,2.47,0.0,0,0.43,2.47,0.0,0,0
2025-05-06 16:34:32.995,0.81,0.82,0.99,1,0.33,0.86,1.0,1,0.75,2.45,0.0,0,0.44,2.46,0.0,0,0
2025-05-06 16:34:33.112,0.85,0.6,0.99,1,0.33,0.64,1.0,1,0.75,2.3,0.0,0,0.43,2.3,0.0,0,0
2025-05-06 16:34:33.242,0.87,0.52,0.99,1,0.33,0.54,1.0,1,0.77,2.24,0.0,0,0.43,2.26,0.0,0,0
2025-05-06 16:34:33.362,0.88,0.48,0.99,1,0.33,0.52,1.0,1,0.79,2.21,0.0,0,0.45,2.24,0.0,0,0
2025-05-06 16:34:33.500,0.88,0.48,0.99,1,0.33,0.51,1.0,1,0.79,2.25,0.0,0,0.45,2.27,0.0,0,0
2025-05-06 16:34:33.610,0.89,0.51,1.0,1,0.33,0.54,1.0,1,0.79,2.29,0.0,0,0.45,2.31,0.0,0,0
2025-05-06 16:34:33.729,0.89,0.55,1.0,1,0.32,0.57,1.0,1,0.79,2.33,0.0,0,0.44,2.34,0.0,0,0
2025-05-06 16:34:33.861,0.89,0.57,1.0,1,0.32,0.59,1.0,1,0.78,2.35,0.0,0,0.44,2.36,0.0,0,0
2025-05-06 16:34:33.994,0.87,0.62,1.0,1,0.28,0.64,1.0,1,0.73,2.44,0.0,0,0.38,2.44,0.0,0,0
2025-05-06 16:34:34.128,0.82,0.76,0.99,1,0.28,0.79,1.0,1,0.73,2.55,0.0,0,0.39,2.54,0.0,0,0
2025-05-06 16:34:34.258,0.8,0.92,0.99,1,0.28,0.95,1.0,1,0.74,2.67,0.0,0,0.43,2.65,0.0,0,1
2025-05-06 16:34:34.385,0.8,1.0,0.99,1,0.28,1.03,0.99,1,0.75,2.72,0.0,0,0.46,2.71,0.0,0,1
2025-05-06 16:34:34.507,0.76,1.0,0.98,1,0.29,1.03,0.99,1,0.73,2.65,0.0,0,0.44,2.65,0.0,0,1
2025-05-06 16:34:34.611,0.76,1.0,0.97,1,0.29,1.03,0.99,1,0.73,2.63,0.0,0,0.44,2.64,0.0,0,1
2025-05-06 16:34:34.740,0.76,1.01,0.97,1,0.29,1.04,0.99,1,0.72,2.66,0.0,0,0.44,2.66,0.0,0,1
2025-05-06 16:34:34.873,0.76,1.0,0.96,1,0.29,1.05,0.99,1,0.73,2.65,0.0,0,0.45,2.66,0.0,0,1
2025-05-06 16:34:34.989,0.77,1.0,0.96,1,0.29,1.04,0.99,1,0.73,2.64,0.0,0,0.45,2.65,0.0,0,1
2025-05-06 16:34:35.108,0.77,0.99,0.95,1,0.29,1.05,0.99,1,0.73,2.64,0.0,0,0.45,2.64,0.0,0,1
2025-05-06 16:34:35.222,0.77,1.0,0.96,1,0.29,1.05,0.99,1,0.73,2.64,0.0,0,0.44,2.65,0.0,0,1
2025-05-06 16:34:35.335,0.77,0.99,0.96,1,0.29,1.05,0.99,1,0.73,2.63,0.0,0,0.43,2.65,0.0,0,1
2025-05-06 16:34:35.458,0.77,0.99,0.96,1,0.29,1.04,0.99,1,0.73,2.63,0.0,0,0.43,2.65,0.0,0,1
2025-05-06 16:34:35.566,0.77,0.98,0.96,1,0.29,1.04,0.99,1,0.73,2.62,0.0,0,0.43,2.64,0.0,0,1
2025-05-06 16:34:35.679,0.77,0.98,0.97,1,0.29,1.04,0.99,1,0.73,2.61,0.0,0,0.43,2.64,0.0,0,1
